(u'rabobank.com', 'rabobank.rs.', 'rabobank.rs', 'wrongTLD', '104.80.88.75')
(u'rabobank.com', 'rabobank.bg.', 'rabobank.bg', 'wrongTLD', '173.222.148.49')
(u'rabobank.com', 'rabobank.es.', 'rabobank.es', 'wrongTLD', '23.15.7.96')
(u'rabobank.com', 'rabobank.de.', 'rabobank.de', 'wrongTLD', '212.227.208.57')
(u'rabobank.com', 'rabobank.org.', 'rabobank.org', 'wrongTLD', '104.96.220.114')
(u'rabobank.com', 'rabobank.lv.', 'rabobank.lv', 'wrongTLD', '23.61.194.242')
(u'rabobank.com', 'rabobank.co.in.', 'rabobank.co.in', 'wrongTLD', '23.61.194.242')
(u'rabobank.com', 'rabobank.bg.', 'rabobank.bg', 'wrongTLD', '23.59.190.25')
(u'rabobank.com', 'rabobank-research.com.', 'rabobank-research.com', 'combo', '104.96.220.114')
(u'rabobank.com', 'rabobank.fi.', 'rabobank.fi', 'wrongTLD', '184.26.136.59')
(u'rabobank.com', 'rabobank.la.', 'rabobank.la', 'wrongTLD', '104.96.220.185')
(u'rabobank.com', 'rabobank.org.', 'rabobank.org', 'wrongTLD', '173.222.148.49')
(u'rabobank.com', 'rabobank.lt.', 'rabobank.lt', 'wrongTLD', '23.61.194.162')
(u'rabobank.com', 'rabobank.co.il.', 'rabobank.co.il', 'wrongTLD', '23.61.194.162')
(u'rabobank.com', 'rabobank.com.ni.', 'rabobank.com.ni', 'wrongTLD', '104.80.88.75')
(u'rabobank.com', 'rabobank.co.il.', 'rabobank.co.il', 'wrongTLD', '23.15.8.113')
(u'rabobank.com', 'rabobank.kg.', 'rabobank.kg', 'wrongTLD', '173.222.148.49')
(u'rabobank.com', 'rabobank.af.', 'rabobank.af', 'wrongTLD', '104.96.220.185')
(u'rabobank.com', 'rabobank.com.tw.', 'rabobank.com.tw', 'wrongTLD', '104.80.88.75')
(u'rabobank.com', 'rabobaank.nl.', 'rabobaank.nl', u'typo', '103.224.182.244')
(u'rabobank.com', 'rabobank.rs.', 'rabobank.rs', 'wrongTLD', '104.80.88.121')
(u'rabobank.com', 'rabobank.cr.', 'rabobank.cr', 'wrongTLD', '184.26.136.139')
(u'rabobank.com', 'rabobank.frl.', 'rabobank.frl', 'wrongTLD', '37.97.254.27')
(u'rabobank.com', 'rabobank.la.', 'rabobank.la', 'wrongTLD', '23.61.194.162')
(u'rabobank.com', 'rabobank.com.tw.', 'rabobank.com.tw', 'wrongTLD', '23.61.194.162')
(u'rabobank.com', 'rabobank.com.ni.', 'rabobank.com.ni', 'wrongTLD', '23.61.194.162')
(u'rabobank.com', 'rabobank.ma.', 'rabobank.ma', 'wrongTLD', '23.59.190.16')
(u'rabobank.com', 'rabo-bank.com.', 'rabo-bank.com', u'typo', '72.52.4.119')
(u'rabobank.com', 'rabobank.org.', 'rabobank.org', 'wrongTLD', '104.96.220.185')
(u'rabobank.com', 'rabobank-research.com.', 'rabobank-research.com', 'combo', '104.96.220.185')
(u'rabobank.com', 'rabobank.com.pl.', 'rabobank.com.pl', 'wrongTLD', '188.210.221.52')
(u'rabobank.com', 'rabobank.com.py.', 'rabobank.com.py', 'wrongTLD', '184.25.56.156')
(u'rabobank.com', 'rabobank.co.th.', 'rabobank.co.th', 'wrongTLD', '173.222.148.49')
(u'rabobank.com', 'rabobank.kg.', 'rabobank.kg', 'wrongTLD', '23.15.7.144')
(u'rabobank.com', 'rabobank.tk.', 'rabobank.tk', 'wrongTLD', '23.15.7.144')
(u'rabobank.com', 'rabobank.name.', 'rabobank.name', 'wrongTLD', '173.222.148.35')
(u'rabobank.com', 'rabobank-research.net.', 'rabobank-research.net', 'combo', '104.80.88.75')
(u'rabobank.com', 'rabobank.com.py.', 'rabobank.com.py', 'wrongTLD', '23.15.7.96')
(u'rabobank.com', 'rabobank.mx.', 'rabobank.mx', 'wrongTLD', '173.222.148.49')
(u'rabobank.com', 'rabobank-international.com.', 'rabobank-international.com', 'combo', '184.26.136.139')
(u'rabobank.com', 'rabobank.net.cn.', 'rabobank.net.cn', 'wrongTLD', '23.15.7.96')
(u'rabobank.com', 'rabobank.com.ni.', 'rabobank.com.ni', 'wrongTLD', '104.80.88.121')
(u'rabobank.com', 'rabobank.com.tw.', 'rabobank.com.tw', 'wrongTLD', '104.80.88.121')
(u'rabobank.com', 'rabobank.org.', 'rabobank.org', 'wrongTLD', '104.80.88.75')
(u'rabobank.com', 'rabobank.com.hk.', 'rabobank.com.hk', 'wrongTLD', '184.26.136.59')
(u'rabobank.com', 'rabobank.bg.', 'rabobank.bg', 'wrongTLD', '23.61.194.242')
(u'rabobank.com', 'rabobank.ch.', 'rabobank.ch', 'wrongTLD', '104.80.88.75')
(u'rabobank.com', 'rabobank.com.pt.', 'rabobank.com.pt', 'wrongTLD', '23.15.7.144')
(u'rabobank.com', 'rabobank.pe.', 'rabobank.pe', 'wrongTLD', '104.80.88.75')
(u'rabobank.com', 'rabobank.si.', 'rabobank.si', 'wrongTLD', '184.25.56.156')
(u'rabobank.com', 'rabobank.mx.', 'rabobank.mx', 'wrongTLD', '23.59.190.25')
(u'rabobank.com', 'rabobank.rw.', 'rabobank.rw', 'wrongTLD', '173.222.148.35')
(u'rabobank.com', 'rabobank.rw.', 'rabobank.rw', 'wrongTLD', '23.15.7.96')
(u'rabobank.com', 'rabobank.org.', 'rabobank.org', 'wrongTLD', '23.61.194.162')
(u'rabobank.com', 'rabobank.name.', 'rabobank.name', 'wrongTLD', '104.96.221.96')
(u'rabobank.com', 'rabobank-research.com.', 'rabobank-research.com', 'combo', '23.61.194.162')
(u'rabobank.com', 'rabobank.pe.', 'rabobank.pe', 'wrongTLD', '23.61.194.162')
(u'rabobank.com', 'rabobank.ch.', 'rabobank.ch', 'wrongTLD', '23.61.194.162')
(u'rabobank.com', 'rabobank.asia.', 'rabobank.asia', 'wrongTLD', '184.26.136.59')
(u'rabobank.com', 'rabobank.me.', 'rabobank.me', 'wrongTLD', '173.222.148.49')
(u'rabobank.com', 'rabobank.sg.', 'rabobank.sg', 'wrongTLD', '23.15.7.96')
(u'rabobank.com', 'rabobank.tm.', 'rabobank.tm', 'wrongTLD', '23.61.194.162')
(u'rabobank.com', 'rabobank.rw.', 'rabobank.rw', 'wrongTLD', '23.59.190.16')
(u'rabobank.com', 'rabobank.kr.', 'rabobank.kr', 'wrongTLD', '23.15.7.144')
(u'rabobank.com', 'rabobank-research.net.', 'rabobank-research.net', 'combo', '104.80.88.121')
