(u'homedepot.com', 'homjedepot.com.', 'homjedepot.com', u'typo', '52.52.64.247')
(u'homedepot.com', 'himedepot.com.', 'himedepot.com', u'homo', '52.86.163.26')
(u'homedepot.com', 'homedepat.com.', 'homedepat.com', u'homo', '52.86.163.26')
(u'homedepot.com', 'hlomedepot.com.', 'hlomedepot.com', u'typo', '52.86.163.26')
(u'homedepot.com', 'homedepo0t.com.', 'homedepo0t.com', u'typo', '52.52.64.247')
(u'homedepot.com', 'homedcepot.com.', 'homedcepot.com', u'typo', '52.52.64.247')
(u'homedepot.com', 'homedepoit.com.', 'homedepoit.com', u'typo', '23.22.216.234')
(u'homedepot.com', 'gomedepot.com.', 'gomedepot.com', u'typo', '52.52.18.176')
(u'homedepot.com', 'homedepot.pw.', 'homedepot.pw', 'wrongTLD', '141.8.226.58')
(u'homedepot.com', 'homed4epot.com.', 'homed4epot.com', u'typo', '52.86.163.26')
(u'homedepot.com', 'homedepo6.com.', 'homedepo6.com', u'typo', '52.52.18.176')
(u'homedepot.com', 'hpomedepot.com.', 'hpomedepot.com', u'typo', '52.52.18.176')
(u'homedepot.com', 'hopedepot.com.', 'hopedepot.com', u'typo', '69.172.201.153')
(u'homedepot.com', 'homedepo.ca.', 'homedepo.ca', u'typo', '162.210.196.166')
(u'homedepot.com', 'homedepo.com.', 'homedepo.com', u'typo', '207.11.34.219')
(u'homedepot.com', 'homedepolt.com.', 'homedepolt.com', u'typo', '85.25.199.30')
(u'homedepot.com', 'homedepota.com.', 'homedepota.com', u'typo', '52.52.64.247')
(u'homedepot.com', 'ho9medepot.com.', 'ho9medepot.com', u'typo', '52.86.163.26')
(u'homedepot.com', 'homedepo.ca.', 'homedepo.ca', u'typo', '162.210.196.167')
(u'homedepot.com', 'homedxepot.com.', 'homedxepot.com', u'typo', '23.22.216.234')
(u'homedepot.com', 'homede0ot.com.', 'homede0ot.com', u'bits', '23.22.216.234')
(u'homedepot.com', 'homefepot.com.', 'homefepot.com', u'bits', '52.86.163.26')
(u'homedepot.com', 'homedepot.lc.', 'homedepot.lc', 'wrongTLD', '207.11.34.219')
(u'homedepot.com', 'homedepkot.com.', 'homedepkot.com', u'typo', '52.86.163.26')
(u'homedepot.com', 'h9omedepot.com.', 'h9omedepot.com', u'typo', '23.22.216.234')
(u'homedepot.com', 'hompedepot.com.', 'hompedepot.com', u'typo', '52.52.18.176')
(u'homedepot.com', 'homedepoth.com.', 'homedepoth.com', u'typo', '52.86.163.26')
(u'homedepot.com', 'nomedepot.com.', 'nomedepot.com', u'typo', '52.52.18.176')
(u'homedepot.com', 'hommedepot.com.', 'hommedepot.com', u'typo', '185.53.179.6')
