(u'xfinity.com', 'xfinity-biz.com.', 'xfinity-biz.com', 'combo', '165.160.13.20')
(u'xfinity.com', 'xfinity-tv.net.', 'xfinity-tv.net', 'combo', '165.160.15.20')
(u'xfinity.com', 'yfinity.de.', 'yfinity.de', u'bits', '52.58.220.139')
(u'xfinity.com', 'xf8nity.com.', 'xf8nity.com', u'typo', '165.160.15.20')
(u'xfinity.com', 'xfinity-phone.com.', 'xfinity-phone.com', 'combo', '165.160.13.20')
(u'xfinity.com', 'xfintiy.net.', 'xfintiy.net', u'typo', '165.160.15.20')
(u'xfinity.com', 'xvinity.net.', 'xvinity.net', u'bits', '165.160.13.20')
(u'xfinity.com', '8finity.net.', '8finity.net', u'bits', '72.52.4.90')
(u'xfinity.com', 'finity.su.', 'finity.su', u'typo', '87.236.19.215')
(u'xfinity.com', 'xfinity.us.', 'xfinity.us', 'wrongTLD', '165.160.15.20')
(u'xfinity.com', 'finity.kiwi.', 'finity.kiwi', u'typo', '202.174.115.181')
(u'xfinity.com', 'xfinidy.com.', 'xfinidy.com', u'bits', '185.53.178.8')
(u'xfinity.com', 'xfinity-serviceupdates.com.', 'xfinity-serviceupdates.com', 'combo', '181.224.139.108')
(u'xfinity.com', 'xffinity.com.', 'xffinity.com', u'typo', '165.160.15.20')
(u'xfinity.com', 'dfinity.io.', 'dfinity.io', u'typo', '199.73.55.35')
(u'xfinity.com', 'xinity.org.', 'xinity.org', u'typo', '85.10.195.6')
(u'xfinity.com', 'xfin8ty.net.', 'xfin8ty.net', u'typo', '165.160.15.20')
(u'xfinity.com', 'xfinith.net.', 'xfinith.net', u'typo', '165.160.15.20')
(u'xfinity.com', 'xfinity.info.', 'xfinity.info', 'wrongTLD', '165.160.13.20')
(u'xfinity.com', 'xfinity-tv.com.', 'xfinity-tv.com', 'combo', '165.160.15.20')
(u'xfinity.com', '8finity.com.', '8finity.com', u'bits', '72.52.4.90')
(u'xfinity.com', 'xvinity.com.', 'xvinity.com', u'bits', '165.160.13.20')
(u'xfinity.com', 'xfinnity.net.', 'xfinnity.net', u'typo', '165.160.15.20')
(u'xfinity.com', 'xfintiy.com.', 'xfintiy.com', u'typo', '165.160.15.20')
(u'xfinity.com', 'xfinit6.net.', 'xfinit6.net', u'typo', '165.160.15.20')
